geography_level,NAMELSAD,total_business_count,ALAND,sq_mi,businesses_per_sq_mi
census_designated_place,Cheat Lake CDP,243,37140478.0,14.340018726958558,16.95
incorporated_place,Kingwood city,199,6293678.0,2.430002661286349,81.89
incorporated_place,White Sulphur Springs city,184,4851834.0,1.8733035805326537,98.22
incorporated_place,Marlinton town,167,6086425.0,2.34998183061157,71.06
census_designated_place,Brookhaven CDP,121,23933172.0,9.240649371166418,13.09
incorporated_place,Parsons city,101,2907056.0,1.1224205967493806,89.98
incorporated_place,Terra Alta town,75,3069739.0,1.1852328542156898,63.28
incorporated_place,Thomas city,60,9036463.0,3.4889978703415747,17.2
incorporated_place,Davis town,34,5199249.0,2.007441261960079,16.94
incorporated_place,Rowlesburg town,28,2617233.0,1.0105193108396162,27.71
incorporated_place,Masontown town,27,720243.0,0.2780873770111632,97.09
census_designated_place,Green Bank CDP,24,8547084.0,3.3000475820717186,7.27
incorporated_place,Durbin town,21,1553294.0,0.5997301663288331,35.02
incorporated_place,Albright town,20,600784.0,0.23196399924785757,86.22
incorporated_place,Bruceton Mills town,20,143622.0,0.055452764221377064,360.67
census_designated_place,Aurora CDP,17,5459312.0,2.1078521476301297,8.07
incorporated_place,Hillsboro town,14,1379934.0,0.5327954961152312,26.28
census_designated_place,Cass CDP,10,1865336.0,0.7202102561003649,13.88
incorporated_place,Harman town,9,837409.0,0.32332542252481616,27.84
incorporated_place,Hambleton town,8,574696.0,0.2218913661344955,36.05
census_designated_place,Arbovale CDP,8,1509169.0,0.5826934085809375,13.73
census_designated_place,Bartow CDP,5,1202913.0,0.4644473058990221,10.77
incorporated_place,Hendricks town,5,814248.0,0.31438291042965444,15.9
census_designated_place,Huntersville CDP,4,2929257.0,1.1309924507722933,3.54
incorporated_place,Brandonville town,2,998171.0,0.38539597774446926,5.19
census_designated_place,Frank CDP,2,989366.0,0.381996348238062,5.24
census_designated_place,St. George CDP,2,2734922.0,1.055959287782213,1.89
