name,amenity_type,associated_facility,notes,corridor_town
Lindy Point Overlook,scenic_overlook,Blackwater Falls State Park,Popular sunset overlook over Blackwater Canyon,Thomas
Blackwater Falls Main Overlook,scenic_overlook,Blackwater Falls State Park,Boardwalk to falls overlook,Thomas
Blackwater Falls Campground,campground,Blackwater Falls State Park,Developed campground,Davis
Canaan Valley SP Campground,campground,Canaan Valley Resort State Park,Developed campground,Davis
Cathedral State Park Picnic Area,picnic_area,Cathedral State Park,Day-use picnic area among old-growth hemlocks,Terra Alta
Kumbrabow State Forest Campground,campground,Kumbrabow State Forest,Primitive/developed camping,Jenningston
Cass Scenic Railroad Camping/Cabins,campground,Cass Scenic Railroad State Park,Cabins and camping near depot,Cass
Seneca State Forest Campground,campground,Seneca State Forest,Cabins and camping,Cass
Watoga State Park Campground,campground,Watoga State Park,Large developed campground; corresponds to ALT waypoint,Marlinton
Droop Mountain Overlook Tower,scenic_overlook,Droop Mountain Battlefield State Park,Observation tower with multi-county views,Marlinton
Beartown Boardwalk Overlooks,scenic_overlook,Beartown State Park,Series of boardwalk overlooks through rock formations,Marlinton
Greenbrier State Forest Campground,campground,Greenbrier State Forest,Developed campground near White Sulphur Springs,White Sulphur Springs
Lake Sherwood Campground,campground,Monongahela NF - Lake Sherwood,USFS developed campground on Lake Sherwood,White Sulphur Springs
Gaudineer Scenic Area Overlook,scenic_overlook,Monongahela NF - Gaudineer,Overlook near old-growth red spruce stand,Durbin
